AN	BP	MP
	44291	8.11111111111111
9.77777777777778	44291	5
44447	9	3
12	3	4
1	2	
1	44317	27485
6	8.33333333333333	4
4	5	44415
4	5	4.33333333333333
8.33333333333333	5	11.6666666666667
14.2222222222222	44411	13.5714285714286
44326	44319	2
44322	9.18181818181818	44319
7.16666666666667	9.18181818181818	2.66666666666667
6.85714285714286	9.18181818181818	6
27546	9.18181818181818	44322
6.11111111111111	9.18181818181818	10
44323	10.8333333333333	6.14285714285714
6	44295	9.66666666666667
44231	5.28571428571429	4
27515	4	27485
10	3	44412
9	2	2
9	5.14285714285714	2
10.1538461538462	6	2
10.1538461538462	7	9
10.1538461538462	44353	7.55555555555556
10.1538461538462	10.3333333333333	44318
10.8181818181818	44321	44318
10.1538461538462	4	2.33333333333333
9.55555555555556	4	12
11.7777777777778	27454	45809
10.4615384615385	3	10.9090909090909
3.16666666666667	2	10.9090909090909
5	44319	10.9090909090909
45778	4.33333333333333	10.9090909090909
8	5	10.7272727272727
5.71428571428571	44205	10.9090909090909
6.28571428571429	44205	10.9090909090909
6.66666666666667	44205	9.33333333333333
3.66666666666667	9.44444444444444	9.09090909090909
7		10.9090909090909
44291	8.57142857142857	4.16666666666667
44291	27638	4.16666666666667
4	8.45454545454546	4.33333333333333
5.33333333333333	44355	27515
4.66666666666667	44205	44352
44321	9	5
4	2	44231
3	2	44319
3	1	44318
44324	2	4
5	44317	8
	44324	1
44234	44292	1
27607	45778	44323
10.6666666666667	45778	2
12	44318	44320
9	2.33333333333333	
13.2857142857143	27729	44320
12.3571428571429	18	
	15.5555555555556	11.5714285714286
44323	44412	11.5714285714286
	14.0833333333333	11.5714285714286
9.44444444444444	15	44327
44324	44362	
44236	11	11.5714285714286
9.44444444444444	44322	13.7777777777778
9.44444444444444	5	11.5714285714286
9.44444444444444	4	11.5714285714286
8.66666666666667	45717	12.8181818181818
12	2	14
27607	2	14
8.11111111111111	2	9.66666666666667
8.57142857142857	8	9.63636363636364
8.33333333333333	8	9
8.18181818181818	8	10.0909090909091
7	8	11.3333333333333
4	44234	44323
7	7.33333333333333	11.3333333333333
13	44232	45748
1.66666666666667	44323	5.33333333333333
2	14.1875	6.85714285714286
2	14.1875	6
7	14.1875	7
8.71428571428571	14.1875	8.71428571428571
12.5384615384615	14.1875	5
15	14.1875	44234
10.4117647058824	44420	3
10	44241	1.33333333333333
44417	14.7142857142857	7.63636363636364
44417	12.7777777777778	7.14285714285714
44417	14	7.63636363636364
9.18181818181818	8	8.22222222222222
10	13.8461538461538	44323
9.44444444444444	14.1428571428571	
44417	44417	7.14285714285714
44417	1	7.14285714285714
44417	1	8.55555555555556
9.54545454545455	44233	7.14285714285714
44209	44233	8
44451	4.55555555555556	5.33333333333333
6.55555555555556	44233	5.83333333333333
45931	8	5.83333333333333
12.1666666666667	4.57142857142857	5.83333333333333
4.66666666666667	2.33333333333333	6.33333333333333
44321	3	7
	3.66666666666667	10
9.72727272727273	3	4
9.72727272727273	4.33333333333333	44323
9.72727272727273	2.66666666666667	
9.72727272727273	4.33333333333333	44354
9.72727272727273	6	7
9.72727272727273	6	5.71428571428571
8.90909090909091	5.57142857142857	3
7	5.57142857142857	5.33333333333333
44292	6.33333333333333	2.33333333333333
5.66666666666667	4.83333333333333	5.33333333333333
3.33333333333333	5.42857142857143	9.71428571428571
5.57142857142857	3.66666666666667	42248
5.57142857142857	44232	10.7272727272727
44233	44232	44387
5.16666666666667	44320	12
6.16666666666667	44232	9
10	4.83333333333333	7.11111111111111
11.9230769230769	4	9.45454545454546
44318	4	9.45454545454546
10.1111111111111	3	9.45454545454546
44354	7.33333333333333	9.45454545454546
10.1111111111111	7.33333333333333	27607
3	7.33333333333333	10.8333333333333
	7.33333333333333	10
4.33333333333333	9	9.33333333333333
44322	7.33333333333333	9.33333333333333
12.0833333333333	6.85714285714286	9.33333333333333
12.0833333333333	6.71428571428571	9.33333333333333
12.0833333333333	45809	9.33333333333333
12.0833333333333	7	9.33333333333333
12.0833333333333	6.85714285714286	7.41666666666667
12.0833333333333	7	
12.0833333333333	6.85714285714286	8.27272727272727
12.0833333333333	6.85714285714286	7
13		44317
10		2
11.5454545454545		2
10.5714285714286		44349
1		4
1		44412
44385		
9.33333333333333		44322
9.33333333333333		44231
44323		44412
9.33333333333333		5
5.66666666666667		5
8.55555555555556		44321
8.81818181818182		44232
44236		44322
9.33333333333333		7.33333333333333
8.18181818181818		7.33333333333333
9.85714285714286		7.33333333333333
12.6666666666667		7.33333333333333
12.6666666666667		44322
12.6666666666667		5.57142857142857
44240		44322
44300		4.66666666666667
11.6470588235294		44322
44355		4.90909090909091
44356		6
6.81818181818182		
7.11111111111111		
27607		
8.33333333333333		
44234		
		
8.33333333333333		
6.81818181818182		
3.66666666666667		
7.11111111111111		
6.33333333333333		
7.71428571428571		
7		
6.42857142857143		
13		
6.53846153846154		
