OTU	Order	Kingdom (Eva)	Phylum (Eva)	Class (Eva)	Family (Eva)	Genus (Eva)	Specie (Eva)	Chemoautotroph.mixotroph.In.situ	Chemoautotroph.mixotroph.Other	AOB.In.situ	AOB.Other	NOB.In.situ	NOB.Other	Anammox.In.situ	Anammox.Other	Aerobic.heterotroph.In.situ	Aerobic.heterotroph.Other	PAO.In.situ	PAO.Other	GAO.In.situ	GAO.Other	Nitrite.reduction.In.situ	Nitrite.reduction.Other	Sulfate.reduction.In.situ	Sulfate.reduction.Other	Fermentation.In.situ	Fermentation.Other	Acetogen.In.situ	Acetogen.Other	Methanogen.In.situ	Methanogen.Other	Short.chain.fatty.acids.In.situ	Short.chain.fatty.acids.Other	Sugars.In.situ	Sugars.Other	Proteins.amino.acids.In.situ	Proteins.amino.acids.Other	Filamentous.In.situ	Filamentous.Other	Hydrophobic.cell.surface.In.situ	Hydrophobic.cell.surface.Other
Otu00927	Verrucomicrobiales	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiasubdivision3	unclassified	unclassified	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed
Otu00929	Rhizobiales	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiaceae	Rhodoplanes	unclassified	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed
Otu00932	Rhizobiales	Bacteria	Proteobacteria	Alphaproteobacteria	Bradyrhizobiaceae	Rhodopseudomonas	unclassified	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed
Otu00935	Myxococcales	Bacteria	Proteobacteria	Deltaproteobacteria	unclassified	unclassified	unclassified	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed
Otu00942	Rhodospirillales	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillaceae	unclassified	unclassified	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed
Otu00945	Caulobacterales	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacteraceae	Phenylobacterium	unclassified	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Positive	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Positive	Not Assessed	Positive	Not Assessed	Positive	Not Assessed	Not Assessed	Not Assessed	Not Assessed
Otu00954	Rhizobiales	Bacteria	Proteobacteria	Alphaproteobacteria	Methylobacteriaceae	Methylobacterium	Methylobacteriumpopul	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed
Otu00956	Gemmatimonadales	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadaceae	unclassified	unclassified	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed
Otu00960	Gemmatimonadales	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadaceae	unclassified	unclassified	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed
Otu00971	Syntrophobacterales	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacteraceae	unclassified	unclassified	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed
Otu00972	Verrucomicrobiales	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiasubdivision3	unclassified	unclassified	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed
Otu00978	Planctomycetales	Bacteria	Planctomycetes	Planctomycea	Planctomycetaceae	Planctomyces	unclassified	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed
Otu00986	Myxococcales	Bacteria	Proteobacteria	Deltaproteobacteria	Haliangiaceae	unclassified	unclassified	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed	Not Assessed
