taxon	Bact_total	Lumbricina	Formicidae	Coleoptera	Araneae	Diplopoda	Larvas	Enchytraeidae	Macrofauna	Oribatida	Mesostigmata	Prostigmata	Collembola	Mesofauna	Fauna Total	COT	COPg	COM	Nt	Pt	CHt	Temp - suelo (?C)	Tem -aire (?C)	Porosidad (%)	HT	PT	PF	Vmax	nifH_(qPCR)	Acaulospora alpina	A. bireticulata	A. delicata	A. denticulata	A. excavata	A. laevis	A. mellea	A. rehmii	A. scrobiculata	A. spinosa	Ambispora leptoticha	Archaeospora trappei	Claroideoglomus claroideum	C. etunicatum	C. luteum	Entrophospora infrequens	Septoglomus constrictum	Funneliformis coronatum	F. geosporus	F. mosseae	Gigaspora decipiens	G. gigantea	G. margarita	G. rosea	G. aggregatum	G. microagregatum	Glomus sp. 1	Glomus sp. 2	Glomus sp. 3	Pacispora boliviana	Pacispora sp. 1	Rhizophagus clarus 	111: 20:4 w6	unclassified	MC18	Bradyrhizobium	CandidatusSolibacter	Methylobacterium	Phenylobacterium	CandidatusEntotheonella	Acidisoma	A17	A.Azucar	A.ProteinasyAA	Aerobios	AerobiosObligados	Anaerobios	AnaerobiosFacultativos	FdCPolypeptona	Fermentadores	H.Aerobicos	M.AGrasosdeCCorta	O.Metano	O.Sulfuro	QuimioHeterotrofos	COT	pH	Nt	Pe	Humedad_Vol_aut	Temp_suelo	Temp_aire	Taire-Tsuelo	Humedad_gravimetrica	Densidad	Porosidad	Acidicapsa	Acidobacterium	Aliidongia	Amphritea	Anaeroglobus	Arenimicrobium	Brevitalea	Calditerricola	Cavicella	Chthoniobacter	Cryptanaerobacter	Desulfospira	Gemmata	Gemmatimonas	Gemmatirosa	Heliobacterium	Limisphaera	Luteimonas	Luteitalea	Lysobacter	Modestobacter	Paludibaculum	Pelobacter	Prevotella	Reyranella	Rhodoplanes	Solirubrobacter	Sphingomonas	Tellurimicrobium	Thermodesulfobium	Thermovenabulum	Vicinamibacter
MPF24	23	0	80	0	0	0	240	1360	1680	5093	0	40744	0	45837	47517	1	6	2	2	2	6	1	12	3259	8	427	2	7	75	0	7	552	38	10	86	1	89	0	94	68	94	14	64	0	0	13	69	0	537	82	1262	16	0	47	22	0	0	2	36	10	64	0	914	116	21	11	9	5	0	6	3	36	5	93	1	56	1	55	12	135	14	38	1	2	2755	5	1478602277	23	2	62	27	8	83	6	55	3	9	5	2	3	22	42	0	1	102	6	14	10	42	3	71	3	1	12	3	65	2	1	1	1	21	8	12	1	7	8	21
MPF32	42	0	0	80	0	0	320	4880	5520	56023	86580	5093	10186	168068	173588	1	5	2	3	6	6	30	3	6127	375	1	22	2	34	222	22	14	85	1	54	6	15	85	1	12	8	0	0	18	95	0	521	82	1242	33	0	0	22	2	1	54	2	34	0	0	0	16	954	79	17	8	14	6	3	1	2	33	3	99	2	54	3	52	9	143	17	46	2	2	2701	5	0	2	41	25	8	4	20	1	86	5	2	4	2	5	28	48	2	2	123	7	8	17	48	4	61	2	5	13	2	61	2	0	1	6	24	1	10	3	13	12	30
MPF34	25	0	0	80	0	0	160	1120	1360	5093	30558	15279	20372	71301	72661	1	1	2	2	7	6	1	6	2315	312	5	6	3	35	520	63	10	86	1	89	0	94	68	94	14	64	0	0	13	69	0	537	82	1262	16	0	47	0	13	0	2	36	10	64	0	0	1	949	93	19	13	6	4	2	5	7	45	3	106	0	58	0	56	16	153	20	50	2	4	5395	6	0	2	31	23	8	2	22	1	54	9	1	2	4	11	27	24	4	2	105	3	9	9	31	4	68	1	1	8	0	68	0	2	1	1	17	2	13	2	17	3	24
MPPE14	38	640	0	80	80	160	240	320	1680	631525	35651	56022	66208	789407	791087	1	5	2	2	1	5	1	13	2745	7	311	9	21	0	8	209	52	0	0	75	2	98	458	63	7	46	0	0	5	97	0	367	65	950	82	0	0	84	27	48	47	11	42	0	3	49	0	962	97	23	11	8	3	9	6	3	40	4	84	0	33	0	32	10	144	13	52	1	2	3736	5	0	32	33	10	12	8	30	1	23	8	1	1	0	10	29	39	8	0	73	4	4	10	38	1	64	1	1	19	5	105	3	1	9	7	19	1	3	1	25	8	35
MPPE22	31	400	80	80	0	0	80	1040	1840	173161	40744	0	0	218997	220837	1	8	2	2	4	6	1	25	8	5580	6	272	3	87	0	27	425	4	1	23	0	0	236	74	0	0	61	0	6	13	0	309	72	1204	53	0	0	133	7	34	35	3	5	0	2	42	21	929	111	30	9	18	0	7	3	2	35	3	86	0	47	1	46	13	181	15	39	1	5	3	7	158037495	13	7	36	26	3	37	37	47	2	3	3	9	4	18	35	5	1	100	3	6	10	47	2	57	1	3	17	4	76	2	1	2	1	15	4	9	6	13	8	30
MPPE24	37	2080	0	160	0	0	720	560	3520	66208	0	25465	10186	101859	105379	1	4	1	2	1	6	5	7	1	323	5	23	26	13	88	89	0	0	75	2	98	458	63	7	46	0	0	5	97	0	367	65	950	82	0	0	84	27	0	47	11	42	0	4	69	0	0	967	111	22	11	6	4	11	1	3	50	3	82	0	54	1	52	15	161	18	29	2	2	4474	7	1576451995	57	5	54	18	46	71	28	47	3	5	0	6	11	27	51	2	1	75	13	7	10	38	0	62	0	2	26	2	90	3	5	4	1	8	1	9	2	9	6	31
MPPE32	19	560	0	80	160	0	480	3680	4960	76394	20372	10186	10186	127324	132284	1	5	3	2	6	5	22	9	4625	7	248	28	21	234	92	1	23	0	0	236	74	0	0	61	0	6	13	0	309	72	1204	53	0	0	133	7	0	0	34	5	0	2	42	0	0	0	0	939	84	27	13	11	9	4	5	2	44	3	74	0	41	1	40	15	173	13	33	1	1	4313	6	0	4	23	23	8	2	31	1	61	6	2	1	3	4	14	31	4	2	70	8	4	9	65	1	81	0	1	20	1	75	6	1	2	9	12	2	10	3	15	15	42
MPPE34	31	560	0	0	80	320	80	1360	2480	290298	56022	101859	30558	478737	481217	1	8	2	3	3	6	11	9	409	7	22	6	30	165	8	0	0	75	2	98	458	63	7	46	0	0	5	97	0	367	65	950	82	0	0	84	27	0	0	11	42	0	0	0	0	0		983	96	17	14	3	2	14	0	3	39	3	83	1	41	1	39	12	150	14	44	2	6	9195	5	0	92	38	10	2	7	23	1	65	1	4	1	1	2	20	47	3	2	89	7	4	13	42	0	74	0	0	20	4	93	8	1	4	4	20	0	2	1	18	10	26
MPZ12	86	240	160	80	80	0	0	80	640	188439	56023	5093	30558	320856	321496	1	6	2	2	2	6	1	14	7	6189	6	126	1	3	4	0	21	0	610	17	54	83	0	85	0	8	5	8	71	535	79	476	28	0	43	0	50	37	0	85	176	4	2	52	0	0	7	1050	71	17	7	3	2	5	0	2	32	4	85	2	62	2	61	9	149	23	24	1	1	1133	6	2139	41	32	26	20	3	97	2	56	4	10	6	1	2	43	36	9	0	83	8	13	14	38	1	105	1	1	12	7	95	0	2	13	7	11	5	5	2	7	6	33
MPZ14	42	0	0	160	0	0	80	80	320	213904	30558	10186	5093	300484	300804	1	9	3	3	4	6	1	6	3143	4	465	5	11	0	26	241	27	0	65	0	0	65	368	59	23	28	0	0	21	99	0	763	69	684	8	0	0	36	86	0	25	22	2	51	0	5	42	1003	70	24	8	11	2	4	4	5	36	0	91	2	52	4	51	10	151	12	38	1	0	1255	7	228798096	27	18	12	-4	5	64	1	49	8	3	2	1	4	30	33	1	2	86	9	3	13	42	2	92	1	1	21	5	114	2	5	11	7	15	3	19	2	14	10	20
